file,scan_preset,iteration,relaxation,time_sec,mse,psnr,ssim
sart_i2_r0.20_hologic_scan.npy,hologic_scan,2,0.2,4.54341,0.019402043156097903,17.12152533745208,0.4346730254414799
sart_i1_r0.30_hologic_scan.npy,hologic_scan,1,0.3,1.85596,0.0202219525206561,16.941769136308825,0.43434820494525744
sart_i2_r0.15_hologic_scan.npy,hologic_scan,2,0.15,6.19082,0.02351574814967736,16.286411996902654,0.41654410841073064
sart_i30_r0.01_hologic_scan.npy,hologic_scan,30,0.01,52.4337,0.02504988884793354,16.011941968560656,0.40923520852177236
sart_i5_r0.05_hologic_scan.npy,hologic_scan,5,0.05,9.39802,0.027516274496241947,15.604103667755487,0.4008004492009663
sart_i1_r0.20_hologic_scan.npy,hologic_scan,1,0.2,1.86475,0.027975348284951115,15.532244979259453,0.4037742239482922
sart_i2_r0.10_hologic_scan.npy,hologic_scan,2,0.1,3.98733,0.030400881809263154,15.171138190444411,0.3923907645021841
sart_i20_r0.01_hologic_scan.npy,hologic_scan,20,0.01,37.7529,0.031436362564638796,15.025677110262382,0.38845855167126714
sart_i1_r0.15_hologic_scan.npy,hologic_scan,1,0.15,1.81056,0.03376952045714828,14.714751065038554,0.3844315736739035
sart_i15_r0.01_hologic_scan.npy,hologic_scan,15,0.01,28.1196,0.03613614997265096,14.420581200291398,0.37484385886463356
sart_i1_r0.10_hologic_scan.npy,hologic_scan,1,0.1,2.09541,0.04006222970458381,13.972648832638777,0.36564420672047304
sart_i2_r0.05_hologic_scan.npy,hologic_scan,2,0.05,3.91723,0.04116810509470282,13.854391224572991,0.3614201286452164
sart_i10_r0.01_hologic_scan.npy,hologic_scan,10,0.01,16.6229,0.04160602727265276,13.808437505837322,0.35988629695595453
sart_i1_r0.05_hologic_scan.npy,hologic_scan,1,0.05,1.83938,0.04604249386490524,13.368411610971014,0.3481474977451178
sart_i5_r0.01_hologic_scan.npy,hologic_scan,5,0.01,9.13777,0.04646434047776402,13.32880222915185,0.346414166384366
sart_i2_r0.01_hologic_scan.npy,hologic_scan,2,0.01,4.10149,0.04990233292292766,13.018791507319015,0.3374544876749475
sart_i1_r0.01_hologic_scan.npy,hologic_scan,1,0.01,1.96225,0.05113752386087484,12.912603048508153,0.33439993442173893
sart_i75_r1.00.npy,siemens_scan,75,1.0,315.979,0.003092991918776361,25.096212146995104,0.7767158963023968
sart_i100_r1.00.npy,siemens_scan,100,1.0,282.117,0.003093029303002577,25.096159655215416,0.7779618310394485
sart_i50_r1.00.npy,siemens_scan,50,1.0,178.099,0.0031006083300034897,25.08553090538331,0.7734611760866984
sart_i100_r0.90.npy,siemens_scan,100,0.9,275.533,0.0031142760832269007,25.066428894855765,0.7774212167695296
sart_i75_r0.90.npy,siemens_scan,75,0.9,328.308,0.0031148862078121606,25.065578142445993,0.7761528211258103
sart_i50_r0.90.npy,siemens_scan,50,0.9,173.323,0.0031236167247974036,25.053422604916932,0.7728286043335081
sart_i30_r1.00.npy,siemens_scan,30,1.0,95.7261,0.003124086380956923,25.052769663906762,0.7660694753258341
sart_i100_r0.80.npy,siemens_scan,100,0.8,288.241,0.0031335580550264897,25.039622547715446,0.7769293641406767
sart_i75_r0.80.npy,siemens_scan,75,0.8,316.882,0.0031350363788511288,25.037574152662355,0.7756264223060879
sart_i50_r0.80.npy,siemens_scan,50,0.8,176.274,0.0031452087941791973,25.023505186924847,0.7722406437897762
sart_i30_r0.90.npy,siemens_scan,30,0.9,332.195,0.0031486171050168397,25.018801495536493,0.7654246695275908
sart_i100_r0.70.npy,siemens_scan,100,0.7,422.381,0.0031509938890092373,25.015524390894534,0.7764235141610119
sart_i75_r0.70.npy,siemens_scan,75,0.7,326.206,0.003153563412204985,25.011984317409567,0.7750831496403825
sart_i20_r1.00.npy,siemens_scan,20,1.0,59.5431,0.0031540823275861747,25.011269749418812,0.7563258189359221
sart_i50_r0.70.npy,siemens_scan,50,0.7,170.821,0.003165534527423085,24.99552945138074,0.7716359104654558
sart_i100_r0.60.npy,siemens_scan,100,0.6,269.727,0.0031669905659272523,24.993532303356467,0.7758294054993455
sart_i75_r0.60.npy,siemens_scan,75,0.6,275.653,0.0031708467619889825,24.98824745683625,0.7744185152279397
sart_i30_r0.80.npy,siemens_scan,30,0.8,88.4598,0.0031721503669178237,24.986462343510034,0.764786885492001
sart_i20_r0.90.npy,siemens_scan,20,0.9,62.6145,0.0031798120676549218,24.975985468055903,0.75550074669803
sart_i100_r0.50.npy,siemens_scan,100,0.5,283.051,0.003180730732522082,24.9747309490696,0.7753353829749147
sart_i15_r1.00.npy,siemens_scan,15,1.0,48.8459,0.0031811165305334777,24.974204215431538,0.7477864851139122
sart_i50_r0.60.npy,siemens_scan,50,0.6,159.008,0.003184855409833898,24.969102795410866,0.7709343210239566
sart_i75_r0.50.npy,siemens_scan,75,0.5,195.598,0.0031866193658550124,24.966698088768112,0.7738339843322294
sart_i100_r0.40.npy,siemens_scan,100,0.4,280.589,0.003194318663560554,24.95621761045797,0.7747040834539392
sart_i30_r0.70.npy,siemens_scan,30,0.7,822.459,0.003194888077915553,24.955443512755533,0.7640751431466739
sart_i75_r0.40.npy,siemens_scan,75,0.4,214.18,0.0032028147458642185,24.944681806542146,0.773081310029371
sart_i50_r0.50.npy,siemens_scan,50,0.5,139.672,0.003203782803947973,24.94336933987363,0.7702823032019694
sart_i20_r0.80.npy,siemens_scan,20,0.8,65.2177,0.0032049676640325017,24.94176347862198,0.7546812850459098
sart_i15_r0.90.npy,siemens_scan,15,0.9,52.4589,0.0032080288805096425,24.93761730603113,0.7469140061640575
sart_i100_r0.30.npy,siemens_scan,100,0.3,280.038,0.003209494590268799,24.93563351999765,0.7739314305891706
sart_i30_r0.60.npy,siemens_scan,30,0.6,87.7178,0.003217171515829287,24.925257851059264,0.7631512581058263
sart_i75_r0.30.npy,siemens_scan,75,0.3,238.794,0.003222135226134156,24.918562371224144,0.7720483989456974
sart_i50_r0.40.npy,siemens_scan,50,0.4,163.458,0.003224184485527382,24.91580116136719,0.7694029422538906
sart_i10_r1.00.npy,siemens_scan,10,1.0,27.0003,0.0032262173193506674,24.913063817034192,0.7362751838177446
sart_i20_r0.70.npy,siemens_scan,20,0.7,63.7239,0.0032299900223380436,24.90798819232434,0.7537491431125322
sart_i100_r0.20.npy,siemens_scan,100,0.2,282.698,0.0032334208854259893,24.90337760801068,0.7723521119000953
sart_i15_r0.80.npy,siemens_scan,15,0.8,59.8073,0.0032348415969076626,24.901469809220895,0.7460411854698152
sart_i30_r0.50.npy,siemens_scan,30,0.5,99.4215,0.0032406854009331856,24.89363127335679,0.762171247525629
sart_i50_r0.30.npy,siemens_scan,50,0.3,164.907,0.003250019682828877,24.881140088309458,0.768144330358532
sart_i75_r0.20.npy,siemens_scan,75,0.2,221.979,0.0032535176442908486,24.876468336827383,0.7701490079361125
sart_i100_r0.15.npy,siemens_scan,100,0.15,276.965,0.003255397161684373,24.873960195056696,0.770807039601001
sart_i20_r0.60.npy,siemens_scan,20,0.6,64.847,0.0032554847253828964,24.873843380063747,0.752548267120073
sart_i10_r0.90.npy,siemens_scan,10,0.9,26.9764,0.0032560925854582257,24.873032546483344,0.7354284001776055
sart_i15_r0.70.npy,siemens_scan,15,0.7,43.792,0.0032621354804723483,24.86498006140711,0.7450668021884774
sart_i30_r0.40.npy,siemens_scan,30,0.4,100.18,0.003267771923413321,24.857482629901988,0.7607360201024569
sart_i75_r0.15.npy,siemens_scan,75,0.15,191.959,0.0032825577139707625,24.83787629400346,0.7682279238092999
sart_i20_r0.50.npy,siemens_scan,20,0.5,53.397,0.003284103139332919,24.83583212045967,0.7512170185087589
sart_i10_r0.80.npy,siemens_scan,10,0.8,26.325,0.003286550416110345,24.832597011987417,0.734551399740693
sart_i15_r0.60.npy,siemens_scan,15,0.6,40.508,0.0032908980692435965,24.82685569133947,0.7437939764709879
